"","CountryCode","CountryName","IncomeGroup"
"89","IRN","Islamic Republic of Iran","Upper middle income"
"90","IRQ","Republic of Iraq","Lower middle income"
"91","ISL","Republic of Iceland","High income: OECD"
"92","ISR","State of Israel","High income: OECD"
"93","ITA","Italian Republic","High income: OECD"
"94","JAM","Jamaica","Upper middle income"
"95","JOR","Hashemite Kingdom of Jordan","Lower middle income"
"96","JPN","Japan","High income: OECD"
"97","KAZ","Republic of Kazakhstan","Upper middle income"
"98","KEN","Republic of Kenya","Low income"
"99","KGZ","Kyrgyz Republic","Low income"
"100","KHM","Kingdom of Cambodia","Low income"
"101","KIR","Republic of Kiribati","Lower middle income"
"102","KNA","St. Kitts and Nevis","Upper middle income"
"103","KOR","Republic of Korea","High income: OECD"
"104","KSV","Republic of Kosovo","Lower middle income"
"105","KWT","State of Kuwait","High income: nonOECD"
"106","LAO","Lao People's Democratic Republic","Low income"
"107","LBN","Lebanese Republic","Upper middle income"
"108","LBR","Republic of Liberia","Low income"
"109","LBY","Socialist People's Libyan Arab Jamahiriya","Upper middle income"
"110","LCA","St. Lucia","Upper middle income"
"111","LIE","Principality of Liechtenstein","High income: nonOECD"
"112","LKA","Democratic Socialist Republic of Sri Lanka","Lower middle income"
"113","LSO","Kingdom of Lesotho","Lower middle income"
"114","LTU","Republic of Lithuania","Upper middle income"
"115","LUX","Grand Duchy of Luxembourg","High income: OECD"
"116","LVA","Republic of Latvia","High income: nonOECD"
"117","MAC","Macao Special Administrative Region of the People's Republic of China","High income: nonOECD"
"118","MAR","Kingdom of Morocco","Lower middle income"
"119","MCO","Principality of Monaco","High income: nonOECD"
"120","MDA","Republic of Moldova","Lower middle income"
"121","MDG","Republic of Madagascar","Low income"
"122","MDV","Republic of Maldives","Lower middle income"
"123","MEX","United Mexican States","Upper middle income"
"124","MHL","Republic of the Marshall Islands","Lower middle income"
"125","MKD","Former Yugoslav Republic of Macedonia","Upper middle income"
"126","MLI","Republic of Mali","Low income"
"127","MLT","Republic of Malta","High income: nonOECD"
"128","MMR","Union of Myanmar","Low income"
"129","MNE","Montenegro","Upper middle income"
"130","MNG","Mongolia","Lower middle income"
"131","MNP","Commonwealth of the Northern Mariana Islands","High income: nonOECD"
"132","MOZ","Republic of Mozambique","Low income"
"133","MRT","Islamic Republic of Mauritania","Low income"
"134","MUS","Republic of Mauritius","Upper middle income"
"135","MWI","Republic of Malawi","Low income"
"136","MYS","Malaysia","Upper middle income"
"137","NAM","Republic of Namibia","Upper middle income"
"138","NCL","New Caledonia","High income: nonOECD"
"139","NER","Republic of Niger","Low income"
"140","NGA","Federal Republic of Nigeria","Lower middle income"
"141","NIC","Republic of Nicaragua","Lower middle income"
"142","NLD","Kingdom of the Netherlands","High income: OECD"
"143","NOR","Kingdom of Norway","High income: OECD"
"144","NPL","Nepal","Low income"
"145","NZL","New Zealand","High income: OECD"
"146","OMN","Sultanate of Oman","High income: nonOECD"
"147","PAK","Islamic Republic of Pakistan","Lower middle income"
"148","PAN","Republic of Panama","Upper middle income"
"149","PER","Republic of Peru","Upper middle income"
"150","PHL","Republic of the Philippines","Lower middle income"
"151","PLW","Republic of Palau","Upper middle income"
"152","PNG","The Independent State of Papua New Guinea","Lower middle income"
"153","POL","Republic of Poland","High income: OECD"
"154","PRI","Puerto Rico","High income: nonOECD"
"155","PRK","Democratic People's Republic of Korea","Low income"
"156","PRT","Portuguese Republic","High income: OECD"
"157","PRY","Republic of Paraguay","Lower middle income"
"158","PYF","French Polynesia","High income: nonOECD"
"159","QAT","State of Qatar","High income: nonOECD"
"160","ROM","Romania","Upper middle income"
"161","RUS","Russian Federation","Upper middle income"
"162","RWA","Republic of Rwanda","Low income"
"163","SAU","Kingdom of Saudi Arabia","High income: nonOECD"
"164","SDN","Republic of the Sudan","Lower middle income"
"165","SEN","Republic of Senegal","Lower middle income"
"166","SGP","Republic of Singapore","High income: nonOECD"
"167","SLB","Solomon Islands","Low income"
"168","SLE","Republic of Sierra Leone","Low income"
"169","SLV","Republic of El Salvador","Lower middle income"
"170","SMR","Republic of San Marino","High income: nonOECD"
"171","SOM","Somali Democratic Republic","Low income"
"172","SRB","Republic of Serbia","Upper middle income"
"173","STP","Democratic Republic of São Tomé and Principe","Lower middle income"
"174","SUR","Republic of Suriname","Upper middle income"
"175","SVK","Slovak Republic","High income: OECD"
"176","SVN","Republic of Slovenia","High income: OECD"
"177","SWE","Kingdom of Sweden","High income: OECD"
"178","SWZ","Kingdom of Swaziland","Lower middle income"
"179","SYC","Republic of Seychelles","Upper middle income"
"180","SYR","Syrian Arab Republic","Lower middle income"
"181","TCA","Turks and Caicos Islands","High income: nonOECD"
"182","TCD","Republic of Chad","Low income"
"183","TGO","Republic of Togo","Low income"
"184","THA","Kingdom of Thailand","Lower middle income"
"185","TJK","Republic of Tajikistan","Low income"
"186","TKM","Turkmenistan","Lower middle income"
"187","TMP","Democratic Republic of Timor-Leste","Lower middle income"
"188","TON","Kingdom of Tonga","Lower middle income"
"189","TTO","Republic of Trinidad and Tobago","High income: nonOECD"
"190","TUN","Republic of Tunisia","Lower middle income"
"191","TUR","Republic of Turkey","Upper middle income"
"192","TUV","Tuvalu","Lower middle income"
"193","TZA","United Republic of Tanzania","Low income"
"194","UGA","Republic of Uganda","Low income"
"195","UKR","Ukraine","Lower middle income"
"196","URY","Oriental Republic of Uruguay","Upper middle income"
"197","USA","United States of America","High income: OECD"
"198","UZB","Republic of Uzbekistan","Lower middle income"
"199","VCT","St. Vincent and the Grenadines","Upper middle income"
"200","VEN","República Bolivariana de Venezuela","Upper middle income"
"201","VIR","Virgin Islands of the United States","High income: nonOECD"
"202","VNM","Socialist Republic of Vietnam","Lower middle income"
"203","VUT","Republic of Vanuatu","Lower middle income"
"204","WBG","West Bank and Gaza","Lower middle income"
"205","WSM","Samoa","Lower middle income"
"206","YEM","Republic of Yemen","Lower middle income"
"207","ZAF","Republic of South Africa","Upper middle income"
"208","ZAR","Democratic Republic of the Congo","Low income"
"209","ZMB","Republic of Zambia","Low income"
"210","ZWE","Republic of Zimbabwe","Low income"
